invoice_date,customer,amount
26. 06. 2021,Charles Inc,87754.03
14. 05. 2021,Diaz-Prince,87647.05
21. 05. 2021,Hodge-Carter,25805.84
25. 07. 2021,Ashley-Craig,21789.81
06. 05. 2021,"Tucker, Ward and Carpenter",52485.24
17. 06. 2021,"Phillips, Jordan and Turner",9162.64
14. 07. 2021,Rogers-Evans,51439.28
15. 08. 2021,Cabrera-Lewis,65355.22
24. 05. 2021,Calderon Inc,751.49
15. 08. 2021,Ramirez Group,69187.58
27. 07. 2021,"Barton, Reed and Coleman",78038.99
30. 05. 2021,Middleton-Stanley,28316.05
08. 05. 2021,"Smith, Odonnell and Weiss",93701.26
16. 08. 2021,Pruitt-Hernandez,73762.49
04. 05. 2021,Stewart-Maxwell,84861.86
29. 08. 2021,Beard-Reed,27015.96
02. 08. 2021,Long-Benton,28918.17
16. 07. 2021,Stevens Inc,95583.71
22. 06. 2021,Morris-Ho,20942.58
02. 07. 2021,"Williams, Larson and Brown",33466.18
24. 06. 2021,Lucero-Walters,13413.73
25. 06. 2021,Blair and Sons,66617.43
07. 08. 2021,Hunter Group,89258.57
15. 06. 2021,"Potts, Bennett and Williams",11616.82
15. 07. 2021,Williams-Sims,11406.98
31. 07. 2021,Thomas Group,42537.52
07. 08. 2021,Knapp-Stout,22588.59
11. 08. 2021,Li PLC,97806.52
09. 08. 2021,Werner-Stevens,64128.94
22. 05. 2021,"Irwin, Monroe and Anderson",72723.22
13. 05. 2021,Garcia Group,69055.94
03. 05. 2021,Ballard-Morris,40040.31
02. 07. 2021,Rios-Martinez,87164.75
25. 07. 2021,Jackson-Peterson,28937.57
20. 05. 2021,Blevins Inc,65587.53
14. 07. 2021,"Owens, Cox and Padilla",91321.75
18. 07. 2021,Maxwell-Anderson,67892.3
05. 06. 2021,Thompson-Jackson,54264.03
26. 08. 2021,Francis-Cisneros,97472.46
23. 07. 2021,Smith Ltd,43240.37
20. 05. 2021,Lee-Blankenship,13790.36
06. 05. 2021,"Hammond, Crawford and Frost",60631.11
12. 05. 2021,Sparks LLC,30857.31
08. 05. 2021,"Myers, Taylor and Miranda",9051.97
03. 07. 2021,Brown Inc,53984.15
14. 05. 2021,Bowers-Olson,15197.29
19. 06. 2021,Fuentes PLC,79726.2
26. 05. 2021,James and Sons,61621.18
16. 06. 2021,Price-Wood,31460.67
13. 06. 2021,Rowe-Garrett,99443.15
25. 06. 2021,"Ruiz, Hall and Hudson",66162.72
18. 06. 2021,Kent Inc,82013.3
04. 06. 2021,Duran-Pearson,96624.99
02. 06. 2021,Graham Ltd,6688.53
25. 07. 2021,"Chambers, Delacruz and Jones",55888.13
21. 07. 2021,Davenport-Downs,90087.71
04. 06. 2021,"Lopez, Wade and Santiago",14847.24
07. 07. 2021,Lopez and Sons,81611.05
09. 06. 2021,Flores PLC,2540.0
21. 05. 2021,Taylor-Hill,23798.57
25. 07. 2021,Patrick LLC,18965.55
04. 08. 2021,Johns-Neal,87134.91
21. 06. 2021,King-Bowman,19794.54
25. 07. 2021,Rodriguez Inc,93307.61
12. 08. 2021,Ortiz Group,6209.47
10. 06. 2021,"Lucero, Santana and Copeland",70335.6
23. 08. 2021,"Brady, Perez and Clark",33056.04
31. 05. 2021,Ford PLC,25163.91
18. 08. 2021,"Brown, Wyatt and Sampson",32945.86
11. 08. 2021,"Moran, Gonzalez and Cordova",17800.51
13. 07. 2021,Long-Jones,47451.14
10. 06. 2021,Jones LLC,55397.32
20. 05. 2021,Gilmore-Mccormick,62324.72
04. 05. 2021,Walker Ltd,82916.07
06. 07. 2021,Peterson Group,85609.29
18. 07. 2021,Wilson and Sons,19232.41
08. 06. 2021,Mills-Taylor,86289.0
21. 06. 2021,Abbott-Johnson,40772.18
17. 08. 2021,Cuevas Ltd,17585.8
01. 06. 2021,Phillips-Torres,49040.07
05. 06. 2021,Bauer and Sons,62147.47
12. 05. 2021,Scott-Walker,29763.95
13. 08. 2021,"Garcia, Garcia and Gonzalez",78862.18
25. 05. 2021,Powell and Sons,99089.72
21. 07. 2021,"Ramirez, Oconnor and Fisher",44018.72
21. 08. 2021,Zimmerman Inc,32160.38
27. 06. 2021,Horne PLC,50096.52
24. 07. 2021,"Poole, Garza and Allen",31376.95
25. 08. 2021,Lee-Rodriguez,49981.11
26. 07. 2021,Willis LLC,2280.32
08. 05. 2021,Chavez-Hill,68324.7
16. 05. 2021,"Powell, Duke and Spencer",52819.31
27. 08. 2021,Rogers LLC,13818.69
29. 06. 2021,"White, Bryant and Evans",72539.71
07. 08. 2021,Cox and Sons,9059.66
04. 07. 2021,Dawson-Walker,54726.64
29. 07. 2021,Anderson LLC,17640.25
03. 05. 2021,Morris-Casey,3631.56
07. 07. 2021,Drake-Rodriguez,63570.72
31. 07. 2021,"Ramos, Ibarra and Edwards",61066.13
27. 08. 2021,Brown-Santiago,73989.76
15. 07. 2021,Farmer PLC,36206.1
14. 06. 2021,Graham-Jackson,55235.59
31. 07. 2021,Turner-Fisher,51206.97
19. 05. 2021,Anderson-Jackson,93449.74
21. 06. 2021,"Carson, Mullen and Rose",18849.65
19. 05. 2021,Hill-Wilson,81806.32
12. 07. 2021,"Lewis, James and Hill",51510.06
19. 05. 2021,"Jacobs, Thompson and Martin",67272.6
17. 05. 2021,Johnson PLC,77590.33
19. 07. 2021,"Davis, Wilson and Banks",86026.19
04. 07. 2021,Wu Ltd,528.24
03. 05. 2021,"Rose, Clarke and Lee",13948.61
21. 06. 2021,Wang PLC,93081.36
04. 08. 2021,"Taylor, Rogers and Newman",69328.23
27. 07. 2021,Hayes-Trevino,1076.68
09. 05. 2021,"Santiago, Harris and Lynch",43733.44
27. 05. 2021,Williams Inc,24070.83
23. 06. 2021,"Donovan, Hodges and Cook",33676.88
04. 05. 2021,"Williams, Haley and Parsons",87172.26
26. 05. 2021,Owens-Alvarez,42682.44
28. 08. 2021,Sanchez-Davis,60198.49
10. 08. 2021,Mosley-Cuevas,62539.4
16. 08. 2021,Davis-Mata,96119.67
11. 05. 2021,"Glover, Espinoza and Graves",20579.21
31. 05. 2021,Kelley-Sosa,75847.13
11. 07. 2021,Ellis-Wood,934.69
12. 07. 2021,Lester Inc,18235.23
28. 06. 2021,"Davis, Callahan and Ortiz",9902.84
30. 05. 2021,Reyes-White,2554.05
22. 07. 2021,Snyder-Davis,44426.5
07. 08. 2021,"Taylor, Brown and Blackburn",37498.52
22. 07. 2021,"Johnson, Lewis and Hanson",68623.09
28. 08. 2021,Brennan-Casey,79682.85
17. 07. 2021,Blanchard-Ingram,55014.66
30. 06. 2021,"Martin, Melton and Singleton",50127.95
20. 07. 2021,"Martinez, Guzman and Hill",45982.59
23. 08. 2021,"Brown, Myers and Hernandez",74230.71
23. 05. 2021,Washington LLC,19862.36
07. 05. 2021,Cuevas Ltd,12413.79
04. 08. 2021,Lucero Ltd,33045.33
13. 07. 2021,Perez-Graham,62089.72
15. 07. 2021,Richardson and Sons,67603.75
06. 08. 2021,Graves PLC,36469.38
20. 08. 2021,Sanchez-Gallagher,63471.12
19. 07. 2021,Watkins-Richardson,32791.89
14. 08. 2021,Rivera Group,13997.81
20. 06. 2021,"Dawson, Carr and Perez",96454.06
05. 07. 2021,Chapman PLC,5514.87
29. 07. 2021,"Anderson, Jones and Harris",15128.87
17. 07. 2021,Mendoza Group,29798.44
27. 06. 2021,Casey Group,88525.06
30. 07. 2021,Hatfield Inc,38784.11
30. 07. 2021,Boyer LLC,32098.22
04. 08. 2021,Adams Ltd,4468.52
01. 08. 2021,"Thompson, Mercado and Jacobson",12594.26
17. 06. 2021,"Garcia, Thompson and Vincent",57812.04
23. 07. 2021,"Kelly, Lopez and Lawson",69988.7
09. 06. 2021,Lee-Wade,13562.61
26. 05. 2021,Larson LLC,28658.17
15. 08. 2021,"Maldonado, Gomez and Hendricks",68633.58
04. 05. 2021,"Richardson, Sparks and Romero",4239.81
15. 05. 2021,Powers-Marshall,15825.89
30. 07. 2021,Warren-Williams,97638.49
14. 05. 2021,Anderson LLC,8869.67
08. 06. 2021,Holt PLC,89002.44
30. 06. 2021,"Browning, Williams and Curry",66014.84
10. 07. 2021,"Logan, Brown and Johnson",73961.67
02. 08. 2021,Mathis-Dalton,68995.41
30. 05. 2021,Pennington and Sons,98554.62
08. 05. 2021,Smith-Walker,43377.14
23. 07. 2021,Gonzalez-Savage,7495.94
25. 05. 2021,"Owen, Anderson and Smith",5480.89
08. 06. 2021,Tapia PLC,43836.67
15. 07. 2021,Brown-Williams,25792.66
17. 06. 2021,Osborn-Newman,71279.86
19. 07. 2021,Smith-Williams,53106.6
31. 05. 2021,Clayton-Hill,65160.05
19. 07. 2021,"Gonzalez, Moran and Harris",11705.15
14. 06. 2021,"Andrews, Garcia and Campbell",36079.88
19. 06. 2021,Harris Group,21268.92
12. 07. 2021,Marshall-Stanley,88669.35
19. 07. 2021,Jackson and Sons,71609.62
12. 08. 2021,Carter-Powers,82210.23
04. 07. 2021,"Campbell, Koch and Hanson",28391.52
26. 05. 2021,Smith PLC,48511.31
05. 08. 2021,Cox Ltd,51971.32
17. 06. 2021,Anderson Inc,89928.05
25. 06. 2021,Hurst-Gill,49160.23
24. 06. 2021,Watson Group,31433.83
28. 07. 2021,Patterson LLC,33935.34
21. 06. 2021,Scott LLC,42584.96
21. 07. 2021,Salas-Arnold,30127.74
29. 07. 2021,"Carlson, Gonzales and Mendez",62826.79
05. 07. 2021,Moore-Patel,25090.21
30. 06. 2021,"Zamora, Anderson and Acosta",19503.91
06. 06. 2021,Gonzales-Holmes,13192.04
05. 06. 2021,"Davis, Wilson and Banks",10085.99
26. 08. 2021,Johnson LLC,60573.16
25. 05. 2021,Richardson Group,34608.13
02. 07. 2021,Anderson-Dennis,52221.62
12. 06. 2021,Sanders and Sons,17408.24
08. 06. 2021,Smith-Rodriguez,83138.96
17. 05. 2021,"Webster, Pratt and Brown",97861.58
23. 06. 2021,"Williams, Smith and Harrison",36222.14
24. 08. 2021,Fisher-Elliott,2576.55
25. 08. 2021,Moreno Group,68761.83
07. 06. 2021,"Gardner, Brooks and Farmer",18721.04
22. 06. 2021,David Group,67225.81
19. 08. 2021,Castro-Butler,68762.56
28. 07. 2021,Welch-Montgomery,78009.53
18. 05. 2021,"Davis, Bryant and Green",53834.23
23. 08. 2021,Anderson Ltd,27787.11
06. 08. 2021,"Davis, White and Bray",55893.42
30. 07. 2021,Petersen Inc,99503.71
25. 05. 2021,Allen Ltd,62686.84
25. 05. 2021,Torres Inc,90011.03
29. 07. 2021,Castillo-Harper,73198.29
18. 05. 2021,Smith LLC,88583.75
31. 05. 2021,Williams Inc,80826.59
11. 08. 2021,"Hoffman, Smith and Williams",56179.49
15. 06. 2021,Evans-Chavez,30344.22
26. 06. 2021,"Summers, Campbell and Alvarez",14697.81
02. 06. 2021,Baker-Glover,17632.85
27. 08. 2021,Martin LLC,10493.75
02. 07. 2021,James Group,47456.99
12. 05. 2021,"Rodriguez, Hobbs and Turner",29046.06
20. 05. 2021,Mcdonald-Schwartz,55212.54
01. 07. 2021,"Mills, Shelton and Gonzalez",24040.74
19. 08. 2021,"Green, Pitts and Scott",5931.11
24. 07. 2021,Johnson-Donovan,50665.53
07. 06. 2021,Evans-Mills,90972.66
14. 07. 2021,Duran LLC,55913.27
29. 08. 2021,"Meyer, Ramos and Zimmerman",41125.93
09. 06. 2021,Webb and Sons,34922.28
18. 05. 2021,Robbins-Roman,42318.11
19. 08. 2021,"Peterson, Kim and Powell",95926.39
15. 06. 2021,Beard and Sons,43363.72
25. 08. 2021,"Mitchell, Ashley and Ellis",15704.23
11. 07. 2021,Mercer and Sons,5653.16
09. 05. 2021,Scott and Sons,40358.72
14. 05. 2021,Miller LLC,56034.95
19. 08. 2021,Dominguez and Sons,26761.26
16. 07. 2021,Rivera and Sons,36935.17
23. 08. 2021,"Ray, Cooper and Gonzalez",52802.49
08. 07. 2021,Smith-Hoffman,26281.33
31. 05. 2021,"Hansen, Thomas and Anthony",94240.91
19. 08. 2021,Rowe-Jenkins,99120.96
29. 05. 2021,"Diaz, Collins and Craig",11410.52
11. 06. 2021,Smith Inc,55410.73
30. 05. 2021,Williams LLC,82808.65
29. 05. 2021,Grimes-Tate,14908.77
21. 05. 2021,Short-Gregory,1856.6
26. 07. 2021,"Cobb, Chavez and Martin",52709.84
20. 07. 2021,Cummings PLC,7078.53
17. 06. 2021,Dunn-Wagner,4495.71
18. 08. 2021,"Martin, Johnson and Aguirre",16090.79
08. 07. 2021,"White, Burke and Johnson",17738.32
20. 08. 2021,Scott and Sons,51741.86
02. 06. 2021,Brown-Bennett,91413.63
25. 07. 2021,Delgado-Anderson,29932.65
26. 07. 2021,Ellis LLC,95616.74
30. 05. 2021,Vazquez-Weber,29403.64
01. 07. 2021,Hernandez Group,16019.28
20. 07. 2021,Wilson PLC,96721.35
05. 06. 2021,"Ramsey, Wiggins and Taylor",20023.59
17. 06. 2021,Brooks-Lewis,36655.58
07. 08. 2021,Holland Inc,82242.45
08. 06. 2021,"Morales, Rose and Warren",76136.83
24. 06. 2021,"Lewis, Baker and Singleton",35276.55
11. 08. 2021,Harris Ltd,266.38
28. 07. 2021,Jones and Sons,58123.31
05. 05. 2021,"English, Scott and Jackson",41626.75
20. 06. 2021,Wall LLC,36794.92
15. 05. 2021,"Russell, Daniels and Weber",4205.34
05. 08. 2021,Murphy Group,60964.78
07. 05. 2021,Rice Inc,10402.58
12. 05. 2021,Cole-Murphy,74577.38
04. 08. 2021,Torres-Hall,50918.96
04. 08. 2021,Downs Ltd,73701.8
15. 07. 2021,"Wood, Gonzalez and Snyder",1295.81
03. 05. 2021,"Green, Gonzalez and Cardenas",50654.21
17. 07. 2021,Johnson-Alexander,82838.26
06. 08. 2021,Fitzpatrick PLC,86248.77
17. 05. 2021,"Moran, Garcia and Stein",28139.09
01. 05. 2021,Guerra LLC,94447.22
17. 05. 2021,"Watkins, Moore and Garcia",59948.22
25. 07. 2021,Mendoza-Chen,54159.75
01. 07. 2021,"Williams, Chavez and Moreno",39597.96
03. 05. 2021,Franklin-Phillips,79064.91
17. 05. 2021,Shah Inc,72373.55
06. 07. 2021,Roberts-Rodriguez,14611.47
17. 05. 2021,Cuevas and Sons,67881.47
27. 06. 2021,"Whitehead, Barrera and Serrano",47801.87
10. 06. 2021,Long and Sons,76741.8
25. 05. 2021,"Maddox, Li and Burton",34367.39
11. 05. 2021,Allen-Morgan,28217.0
01. 08. 2021,Rodriguez-Lam,34147.01
26. 07. 2021,Fowler-David,71368.57
28. 07. 2021,Lopez LLC,97757.57
11. 05. 2021,Archer and Sons,65469.28
22. 06. 2021,Mcknight-Morgan,6473.55
27. 07. 2021,Preston-Horton,58241.95
15. 07. 2021,Greene-Mcgrath,46915.28
02. 08. 2021,Carter-Mays,93345.41
13. 05. 2021,"Sanchez, Strong and Hall",4139.55
15. 08. 2021,Lopez PLC,22568.29
14. 08. 2021,Paul Ltd,71230.9
13. 05. 2021,Williams-Harvey,67319.91
26. 07. 2021,Goodman-Mason,71906.47
07. 05. 2021,"Rose, Armstrong and Fuller",82244.02
03. 08. 2021,Padilla Ltd,40863.06
19. 08. 2021,"Fletcher, Rodriguez and Gonzales",15136.78
30. 07. 2021,"Curry, Cruz and Perez",45137.42
08. 07. 2021,"Hall, Guerrero and Ellis",22021.35
20. 07. 2021,Garcia-Murray,74492.92
09. 05. 2021,"Robinson, Dalton and Myers",93473.21
03. 05. 2021,Frederick-Smith,94229.62
01. 08. 2021,"Lopez, Murphy and Pittman",26774.68
15. 05. 2021,"Garcia, Hall and Roth",24027.24
18. 08. 2021,Young-Oconnell,67196.31
09. 05. 2021,Watson Group,70855.29
17. 08. 2021,"Byrd, Hall and Evans",71544.28
27. 07. 2021,Hall Inc,88226.16
10. 06. 2021,"Rivers, Ryan and Harper",23053.1
13. 06. 2021,Thompson Group,61983.49
16. 05. 2021,Kennedy Ltd,73288.0
31. 05. 2021,Aguilar-Johnson,29008.3
12. 07. 2021,Castillo LLC,35003.45
22. 08. 2021,Moody-Martin,52219.17
21. 05. 2021,Levy PLC,30317.67
26. 07. 2021,Johnson Ltd,78358.71
26. 08. 2021,Suarez-Fuller,83649.43
29. 05. 2021,Lee-Carroll,42473.11
12. 06. 2021,Lee-Hughes,89448.96
25. 05. 2021,"Kelly, Barron and Davidson",15120.55
03. 07. 2021,Jensen PLC,43323.17
07. 07. 2021,Hughes-Fowler,71619.05
24. 08. 2021,Wells PLC,72577.73
05. 07. 2021,"Ware, Macdonald and Deleon",3519.58
06. 08. 2021,"Carr, Grimes and Ortiz",85521.54
05. 06. 2021,"Lawrence, Adams and Trevino",57519.38
24. 08. 2021,Hicks-Pace,36241.69
25. 05. 2021,"Palmer, Prince and Smith",83609.84
25. 05. 2021,Ramirez and Sons,72647.99
12. 07. 2021,"Gregory, Turner and Aguilar",72851.99
28. 05. 2021,Garcia Ltd,65380.61
25. 05. 2021,"Ewing, Smith and Lawson",78705.44
03. 07. 2021,"Nguyen, Garza and Ferguson",52424.31
17. 08. 2021,Whitehead Inc,31033.23
21. 06. 2021,Pugh Ltd,50973.39
05. 05. 2021,Garcia Group,512.89
22. 07. 2021,"Ryan, Harrison and Ray",18156.65
08. 07. 2021,"Hayes, Wood and Brewer",83027.74
06. 08. 2021,Benitez Group,27445.51
26. 06. 2021,Mcmillan-Martin,20761.17
03. 06. 2021,Summers-Huang,55853.87
05. 07. 2021,"Best, Holmes and Fuller",52911.69
28. 06. 2021,Garcia Ltd,88468.81
13. 07. 2021,Harvey and Sons,47407.42
06. 08. 2021,Foley LLC,95564.52
02. 07. 2021,"Lamb, Cisneros and Hughes",10842.0
04. 06. 2021,Carroll-Hunt,98121.46
13. 08. 2021,Lewis Ltd,79827.49
29. 06. 2021,Conrad Group,46050.69
20. 05. 2021,Martinez-Harmon,67688.16
13. 08. 2021,King PLC,31407.68
27. 05. 2021,Miller PLC,46328.5
25. 05. 2021,Miller Group,32323.2
18. 05. 2021,"Barnett, Schmitt and Black",73768.3
21. 08. 2021,"White, Hicks and Mcdonald",54569.74
22. 06. 2021,King-Crosby,92606.12
23. 05. 2021,"Wolf, Mccarthy and Davila",59828.36
12. 05. 2021,Leblanc Group,12174.37
28. 07. 2021,Fuller Ltd,98289.45
24. 06. 2021,Bender-Peck,25937.85
19. 08. 2021,Sims Group,96005.59
04. 06. 2021,Jones-Mendez,11058.36
04. 07. 2021,Love LLC,96259.38
06. 07. 2021,"White, Young and Whitehead",37922.26
12. 08. 2021,"Jordan, Nolan and Ware",85036.53
22. 08. 2021,Richardson PLC,22115.3
26. 07. 2021,"Howell, White and Gonzalez",60141.75
11. 08. 2021,Green-Patterson,13997.98
08. 07. 2021,Spence-Horton,34291.32
09. 08. 2021,"Liu, Myers and Taylor",2073.31
10. 05. 2021,Collins Inc,74460.65
15. 05. 2021,"Hughes, Jones and Anderson",88879.83
23. 06. 2021,Long Inc,73210.06
23. 07. 2021,Wagner Inc,28388.21
06. 05. 2021,"Shaw, Hanson and Alvarado",10446.41
03. 08. 2021,Silva LLC,25201.5
02. 05. 2021,"Tucker, Ward and Carpenter",78768.76
26. 05. 2021,Ramirez Group,83277.67
26. 06. 2021,Cole-Park,31576.33
02. 05. 2021,"Powell, Duke and Spencer",49068.34
10. 08. 2021,Mcdowell LLC,14744.56
02. 06. 2021,Taylor LLC,80683.4
02. 08. 2021,"Hall, Bradshaw and Mathis",53098.89
16. 07. 2021,Brown-Martinez,18698.29
15. 05. 2021,Delgado Group,43719.21
25. 08. 2021,Parker LLC,55631.11
18. 07. 2021,Simmons-Reese,92700.19
06. 05. 2021,Ritter Group,20830.3
12. 08. 2021,"Kim, Friedman and Hernandez",25262.72
02. 07. 2021,Maxwell-Best,55042.9
12. 07. 2021,"Fry, Kelly and Shepard",15894.0
05. 06. 2021,"Valentine, Bailey and Hoffman",17057.21
24. 07. 2021,Dunn Inc,1484.66
25. 06. 2021,Johnson-Burton,33282.7
28. 07. 2021,Young-Harris,88618.78
29. 07. 2021,Schwartz Ltd,19250.97
19. 07. 2021,"Christian, Ford and Velazquez",98453.72
28. 06. 2021,Davis-Huff,39324.03
26. 05. 2021,Perez-Anderson,45432.55
01. 06. 2021,Howard LLC,76019.38
05. 08. 2021,Boyle LLC,23243.36
01. 06. 2021,Moore-Schneider,42217.51
27. 06. 2021,"Rubio, Lane and Rangel",74855.28
12. 06. 2021,Smith Group,64852.57
12. 07. 2021,Harris-Jacobson,2986.94
24. 08. 2021,Andrade-Moss,35241.4
15. 07. 2021,"Mcgee, Smith and Weiss",79689.91
20. 08. 2021,Byrd Group,6478.09
09. 07. 2021,"Freeman, Fox and Ramirez",26778.86
03. 06. 2021,Haynes Inc,37148.02
16. 06. 2021,Price and Sons,36883.39
03. 08. 2021,Johnson-Bray,95054.17
11. 08. 2021,"Lee, Carter and Steele",37773.91
28. 07. 2021,Rowland-Carroll,79449.01
06. 06. 2021,"Combs, Ramirez and Craig",17154.78
05. 07. 2021,Hartman-Smith,9086.45
14. 08. 2021,"Long, Butler and Hodge",89087.13
20. 06. 2021,Morgan-Alexander,5937.84
08. 05. 2021,"Randall, Villanueva and Shaw",22999.4
19. 07. 2021,Smith PLC,723.61
08. 08. 2021,Jackson-Lucero,12660.08
09. 06. 2021,Allen Ltd,13110.89
24. 08. 2021,Williamson Inc,39031.81
22. 06. 2021,Long LLC,58484.65
25. 05. 2021,King Group,43645.89
24. 07. 2021,"Grant, Moore and Dean",81455.11
12. 07. 2021,Webster and Sons,95595.76
20. 07. 2021,Warren-Perez,68461.15
06. 05. 2021,"Smith, Melton and Lopez",26344.42
03. 08. 2021,Ayala-Olson,53846.49
13. 05. 2021,Campbell Inc,72356.56
05. 05. 2021,"Hill, Johnson and Stanton",3881.68
10. 07. 2021,Goodwin Ltd,43343.94
16. 06. 2021,Taylor-Andrade,56016.28
15. 08. 2021,Gonzalez-Howard,77116.82
23. 07. 2021,Williams-Ruiz,69201.09
13. 08. 2021,Mcmillan-Martin,15289.93
26. 05. 2021,Carroll-Peterson,6558.19
29. 08. 2021,Thomas and Sons,82410.32
09. 06. 2021,"Thompson, Bennett and Carter",96093.97
20. 08. 2021,Foster-Scott,27019.87
13. 07. 2021,Moore-Thomas,16809.65
16. 05. 2021,Vincent Group,38621.22
14. 05. 2021,Wolfe Group,71384.59
27. 07. 2021,"Reeves, Sanchez and Glenn",45147.47
13. 06. 2021,Beck and Sons,88724.57
26. 06. 2021,Brady and Sons,41303.4
19. 07. 2021,Lawrence-Mendoza,9533.65
14. 05. 2021,"Roman, Jacobson and Watson",2283.98
03. 07. 2021,Harris-Butler,22486.69
05. 05. 2021,Gaines-Mitchell,40950.21
31. 05. 2021,"Richard, Miller and Andrews",78409.46
07. 07. 2021,"Nichols, Cannon and Cook",54516.26
28. 08. 2021,"Torres, Lyons and Torres",56243.99
21. 06. 2021,Moore Ltd,52688.09
20. 08. 2021,"Ali, Aguilar and Cole",80468.53
29. 06. 2021,Anthony-Hale,30538.13
15. 07. 2021,Mills-Santos,44072.03
14. 07. 2021,Moore Inc,91103.64
03. 07. 2021,Gray-Garcia,50581.48
12. 08. 2021,Russell-Smith,36860.16
24. 07. 2021,"Myers, Thornton and Hill",40772.76
22. 05. 2021,Thomas Inc,47085.78
28. 08. 2021,Carlson Group,65047.73
08. 07. 2021,Morris PLC,74616.16
07. 06. 2021,"Soto, Ferguson and Weber",45369.26
05. 07. 2021,Oconnor-Castro,42287.38
09. 08. 2021,Martinez-Moore,1529.81
06. 07. 2021,Frederick LLC,3126.98
18. 08. 2021,Davis Inc,47228.69
20. 07. 2021,Woodward and Sons,55127.46
29. 06. 2021,"Jenkins, Santos and Wilkinson",49718.72
29. 06. 2021,Campbell-Williams,40097.58
26. 08. 2021,"Kane, Garcia and Patterson",67297.95
04. 07. 2021,"Perez, Mcbride and Lloyd",21890.95
24. 07. 2021,"Evans, Cain and Harris",548.57
05. 06. 2021,Middleton-Walters,81707.52
20. 05. 2021,Johnson-Thomas,90378.82
29. 05. 2021,"Stephenson, Wright and Mitchell",14110.21
24. 05. 2021,Cummings-Smith,66145.84
26. 07. 2021,"Harmon, Martinez and Bond",7470.53
21. 08. 2021,Nichols and Sons,27597.8
01. 07. 2021,Jones-Alexander,14122.97
02. 07. 2021,Thompson-Jackson,86594.0
12. 07. 2021,"Flores, Fisher and Harris",47479.25
02. 07. 2021,"Rodriguez, Bowman and Maxwell",89356.61
26. 07. 2021,Larson-Montgomery,95840.1
19. 07. 2021,King PLC,36666.72
19. 07. 2021,Gibson-Mcdaniel,9905.93
08. 08. 2021,"Spence, Reynolds and Collins",64237.18
14. 07. 2021,Perry-Henderson,92331.62
07. 07. 2021,"Green, Green and Castillo",225.31
29. 08. 2021,"Arnold, Gonzalez and Morgan",13959.11
20. 08. 2021,"Reeves, Sanchez and Glenn",98968.2
01. 05. 2021,Lewis Inc,86533.19
01. 05. 2021,"Wood, Bond and Cook",48520.74
03. 08. 2021,Smith Ltd,34441.86
18. 05. 2021,Gibbs-Rodriguez,50417.28
12. 06. 2021,"Jones, King and Hill",64183.7
08. 08. 2021,"Martinez, Kramer and Thompson",82123.19
20. 07. 2021,"Morris, Vega and Jones",1565.71
29. 07. 2021,Adkins PLC,89482.52
17. 07. 2021,"Ray, Miller and Hickman",21617.37
10. 05. 2021,Sparks and Sons,24024.69
23. 06. 2021,"Walker, Fowler and Webb",45646.46
06. 07. 2021,Lamb-Torres,33584.83
26. 07. 2021,Campbell-Sullivan,4399.42
20. 06. 2021,Bowman LLC,28459.55
01. 06. 2021,Rollins-Dudley,73219.76
22. 06. 2021,Moon Inc,75435.05
03. 05. 2021,"Thornton, Hall and Edwards",64672.83
17. 07. 2021,"Hughes, Miles and Wilson",23726.12
20. 05. 2021,"Glenn, Gonzalez and Brown",15312.96
09. 08. 2021,"Watson, Silva and Carrillo",75132.85
04. 07. 2021,Villanueva-Hill,97128.87
26. 06. 2021,"Reed, Lindsey and Harper",14437.54
29. 07. 2021,Martinez LLC,20909.27
12. 06. 2021,"Sullivan, Gonzalez and Lowery",6727.63
12. 08. 2021,Flores PLC,93448.21
19. 07. 2021,Miller Ltd,70445.43
23. 08. 2021,Schneider Group,25800.08
18. 05. 2021,"Lucas, Hogan and Jones",57094.32
08. 06. 2021,Ritter Group,11673.2
08. 05. 2021,Mills-Sanders,87746.5
12. 08. 2021,Harris-Mcdonald,19820.05
15. 06. 2021,Smith LLC,62016.17
06. 08. 2021,"Burton, Keith and Lee",45725.85
10. 07. 2021,Hernandez-Baldwin,61516.97
12. 08. 2021,"Martin, Greer and Medina",52923.3
27. 05. 2021,West-Clements,24101.92
10. 06. 2021,"Phillips, Jordan and Turner",54248.77
20. 08. 2021,Durham-Bruce,48920.27
09. 08. 2021,Mcgrath Group,12489.9
17. 06. 2021,"Holmes, Vaughn and Garcia",74420.37
22. 07. 2021,"Williams, Haley and Parsons",13378.35
02. 05. 2021,Reynolds-Sandoval,97273.01
29. 07. 2021,Burton Group,98425.15
13. 08. 2021,"Rice, Wilson and Gallegos",13814.18
16. 07. 2021,Wilson Group,2195.77
22. 05. 2021,"Brown, Maldonado and Howard",68050.26
24. 05. 2021,Gilmore-Coleman,68154.47
01. 07. 2021,Nielsen LLC,87572.31
22. 08. 2021,Frank-Curtis,97506.16
15. 06. 2021,Nelson-Kirk,21145.1
26. 05. 2021,Scott-Howell,74232.86
27. 06. 2021,Cunningham LLC,25537.52
25. 08. 2021,"Jones, Washington and Spencer",59645.93
23. 07. 2021,Garcia Ltd,73752.19
11. 08. 2021,White Group,665.24
26. 08. 2021,"White, Hunter and Scott",30035.91
11. 05. 2021,Cortez and Sons,33525.67
13. 05. 2021,Mack-Drake,78376.67
23. 06. 2021,Wheeler Group,3227.03
